word,centrality,community
domain,0.07891598139022245,Community 2
analysis,0.007690214494269772,Community 8
bayesian,0.1420211165727129,Community 4
inference,0.3762027532765776,Community 2
active,0.25854767662873823,Community 2
expert,0.013870112102426321,Community 4
probabilistic,0.06429588627424557,Community 4
modeling,0.027654370824395896,Community 4
typically,6.209542407336989e-06,Community 5
hold,9.888859024705728e-05,Community 5
advanced,0.001568755032068788,Community 5
degree,9.897600832972991e-05,Community 5
statistic,7.602287682047688e-06,Community 5
mathematic,2.2099926814165897e-05,Community 5
computer,0.0003444455080294125,Community 5
science,0.005464684969535254,Community 5
engineering,0.00034305824908465046,Community 5
core,0.019998362252499482,Community 2
knowledge,0.01599006939150359,Community 4
areas,0.0010038870683570277,Community 4
1,0.0754375092515519,Community 9
probability,0.04159746716425543,Community 2
theory,0.07041514505501359,Community 2
understanding,0.09320401445858259,Community 2
distribution,0.08754948655476438,Community 1
conditional,0.008107965681023475,Community 1
bayes,1.6128677623284978e-18,Community 20
theorem,1.6128677623284978e-18,Community 20
2,0.11714336078824016,Community 1
methods,0.011824211682496123,Community 12
familiarity,0.000742299338307978,Community 12
technique,0.03584314853033131,Community 9
monte,7.403524562640972e-10,Community 12
carlo,4.643654466502293e-11,Community 12
mcmc,0.04483752105121618,Community 1
variational,0.13938843332221668,Community 1
message,0.04076884665869524,Community 1
pass,0.020609374755791735,Community 1
algorithm,0.029531596656346495,Community 1
3,0.1012902367018386,Community 1
graphical,0.0457680279898553,Community 4
models,0.050126560762541884,Community 4
model,0.354599996702998,Community 3
network,0.009797019926916619,Community 4
factor,0.0031873158323585432,Community 1
graph,0.009116085197124845,Community 1
dynamic,0.022441396575788773,Community 4
4,0.05843744292568906,Community 9
learning,0.1283768447985642,Community 2
machine,0.045141517289307355,Community 3
concept,0.04401519709516393,Community 2
application,0.08648233002863895,Community 2
neural,0.014034077028983362,Community 4
deep,0.0656455455952769,Community 2
computational,0.018864404316713556,Community 10
tool,0.007718888503343961,Community 10
methodologies,1.6128677623284978e-18,Community 21
frameworks,1.6128677623284978e-18,Community 21
passing,0.0025695634301373606,Community 1
algorithms,0.00016131254089374553,Community 1
like,0.02293492358676012,Community 9
sum,0.006959196050187856,Community 2
product,0.0022909326840378328,Community 2
belief,0.031579004972832614,Community 1
propagation,0.010733584477413854,Community 1
method,0.08549523429518996,Community 4
approximate,0.0718657756242262,Community 1
intractable,0.033625960844405424,Community 1
family,0.015110053489137694,Community 1
metropolis,0.0007452477298083258,Community 12
hastings,4.696938028434089e-05,Community 12
gibbs,2.960098167968091e-06,Community 12
sample,1.8653467821746257e-07,Community 12
hamiltonian,1.175310416489132e-08,Community 12
use,0.08937055089138687,Community 2
technical,1.6128677623284978e-18,Community 22
vocabulary,1.6128677623284978e-18,Community 22
representation,0.054322357978791994,Community 2
update,0.10672835457794737,Community 3
approximations,0.008750923256175436,Community 1
simple,0.013682362007822383,Community 1
conjugate,0.002376533593676438,Community 1
prior,0.037852250255526555,Community 1
professional,0.005127690264526561,Community 13
goals,0.00032189412468927017,Community 13
scalability,0.0047855857043506205,Community 9
efficiency,0.0007891872440118354,Community 9
develop,0.006866595238299069,Community 5
large,0.002206309877921076,Community 3
dataset,0.0001385259748108084,Community 3
accuracy,0.04157084370419112,Community 3
robustness,0.002610027996419309,Community 3
interpretability,1.6128677623284978e-18,Community 23
explainability,1.6128677623284978e-18,Community 23
complex,0.07421208306937258,Community 3
combine,0.05994025711702367,Community 4
learn,0.02977726020977103,Community 3
industry,1.6128677623284978e-18,Community 24
trends,1.6128677623284978e-18,Community 24
handle,0.035002526951150525,Community 3
real,0.03875427226143747,Community 2
time,0.04928406645554407,Community 2
datum,0.021685431495264765,Community 3
integrate,0.0646593193600911,Community 3
causal,0.03341195993372132,Community 4
estimate,0.0027999733618367527,Community 4
effect,0.01118927294203673,Community 4
optimization,0.024290817185261295,Community 2
preferences,0.008059539336103663,Community 2
hand,0.00035039444614283044,Community 1
experience,0.0055815056573968866,Community 1
programming,0.005560808611950334,Community 1
implement,0.08299600272889252,Community 1
theoretical,0.019305725297355324,Community 2
foundations,0.005556292257046509,Community 2
understand,0.06919876934174435,Community 2
underpinning,0.0012119854395504165,Community 2
world,0.07896596977556178,Community 2
applications,0.006015570276012968,Community 5
case,0.015785361924798028,Community 5
study,0.031988341293397754,Community 8
collaborative,0.013488724747341576,Community 2
apply,0.021825423218066912,Community 2
key,0.024747606172075835,Community 9
concepts,0.03012559126853931,Community 2
foundation,0.008915963045004091,Community 4
base,0.10945650451339096,Community 3
new,0.03947397373391866,Community 3
gaussian,0.005518223815756392,Community 1
julia,0.0022387982060754026,Community 10
package,0.00015360915655197662,Community 10
perception,0.1169228221079945,Community 2
deal,0.00495414905742223,Community 2
decision,0.06743431182462213,Community 11
