word,centrality,community
domain,0.09079938015744314,Community 1
analysis,0.07365270512310002,Community 1
atm,0.25392406866094375,Community 1
transaction,0.21415933258791073,Community 1
processing,0.12766758930374278,Community 1
active,0.3560945202122758,Community 1
inference,0.34699685049673124,Community 1
predictive,0.13104584459965457,Community 1
model,0.11606634205651539,Community 4
real,0.19147712839288614,Community 1
time,0.11983098059095257,Community 1
data,0.033573978847088154,Community 2
analytic,0.0025229249894266953,Community 2
security,0.09469773062002833,Community 1
measure,0.02383482772395888,Community 3
integrate,0.133304728974018,Community 1
enhance,0.1570405258383293,Community 1
user,0.1963563752155673,Community 1
experience,0.08919768371036932,Community 1
expert,0.006823220179159009,Community 1
1,0.1777748771532706,Community 2
hardware,0.03683066327237883,Community 1
software,0.03683066327237883,Community 1
authorization,0.009004948053873764,Community 1
secure,0.00203014693622124,Community 6
communication,0.005247034185538266,Community 6
3,0.06706978673338601,Community 5
measures,0.007694488734677804,Community 1
familiarity,0.007694488734677804,Community 1
end,0.0018015250929293114,Community 3
encryption,0.00013617728682709543,Community 3
factor,1.0294977997639555e-05,Community 3
authentication,7.741456739044476e-07,Community 3
fraud,0.17372533922539982,Community 1
detection,0.16524334210537928,Community 1
system,0.21242036951493531,Community 3
different,0.02266230271777586,Community 3
network,0.023513121958583277,Community 9
analytics,0.0025229249894266953,Community 2
analyze,0.0620724592792688,Community 1
pattern,0.06849255569146638,Community 1
optimize,0.027890542505532374,Community 7
cash,0.028548427296587766,Community 7
management,0.0021453119137720836,Community 7
continuous,3.2061949966281655e-16,Community 13
improvement,3.2061949966281655e-16,Community 13
2,0.19936029128181715,Community 1
datum,0.05720352001559379,Community 1
behavior,0.08293918920296957,Community 1
machine,0.02844417465431039,Community 8
learning,0.047979558339548964,Community 7
utilize,0.0068465868877747105,Community 7
maintenance,0.022265691269348152,Community 1
concepts,0.04821506818456292,Community 5
emv,0.013359096683740189,Community 2
code,0.016235472573739546,Community 2
unique,0.0018860705874515983,Community 2
ensure,0.004377838350824509,Community 6
encrypt,0.0007232880660884635,Community 6
tokenization,0.0050692208834619236,Community 5
replace,0.00038729376325231945,Community 5
sensitive,8.459878195468005e-05,Community 5
card,0.0007383390006867688,Community 2
information,0.008720031590808516,Community 2
identifier,0.00014174445290652366,Community 2
method,0.0006149743502647697,Community 2
like,0.008183084556494526,Community 2
enhanced,0.007116273018595211,Community 1
load,3.256156288114264e-05,Community 7
balancing,0.00043332535339678447,Community 7
algorithms,0.005733930896776467,Community 7
challenges,0.013359096683740189,Community 2
prevent,0.019898609041698625,Community 1
adapt,0.07695049373974458,Community 1
emerging,0.007302982394276084,Community 1
technologies,0.020230537392457938,Community 1
new,0.051648426552164735,Community 1
payment,0.003907790641732583,Community 2
technology,0.03989516791307136,Community 2
contactless,0.0006704691417836969,Community 2
mobile,0.00034919423685963866,Community 2
improve,0.05982399259280776,Community 1
usability,0.028784633648758617,Community 1
trends,0.013359096683740189,Community 2
financial,0.016249965803264484,Community 3
inclusion,0.0012724611177364292,Community 11
expand,0.0006820580119572196,Community 11
service,0.007803324847167254,Community 11
unbanked,0.0005897777553867563,Community 11
underbanked,4.457538300570957e-05,Community 11
population,3.350151981436109e-06,Community 11
approaches,0.013359096683740189,Community 2
hand,0.0019197572646806706,Community 4
training,0.02554349242144579,Community 4
online,0.04313090799997607,Community 7
courses,0.030000463571363996,Community 7
good,0.00022063276328101344,Community 5
practice,3.44198639718016e-05,Community 5
collaborative,0.003605489699782174,Community 7
share,0.002664287043431987,Community 5
knowledge,0.000237443098041152,Community 5
professional,0.03236467696057395,Community 5
key,0.0036231667458460244,Community 5
protocols,0.00032899058613735846,Community 6
integrity,0.019280150593246326,Community 1
historical,0.029115982153076883,Community 1
need,0.02887103160122542,Community 7
base,0.08055755118350864,Community 1
emerge,0.010649255005991239,Community 1
threat,0.02156429273829819,Community 1
applications,0.05119831197146185,Community 9
use,0.05881992015340127,Community 8
case,0.031266789888249075,Community 6
check,3.2061949966281655e-16,Community 14
deposit,3.2061949966281655e-16,Community 14
best,0.00024052354464134892,Community 5
practices,1.8073425424554808e-05,Community 5
opportunity,0.013359096683740189,Community 2
blockchain,0.028416731082334442,Community 2
integration,0.069222633372367,Community 2
transparency,0.03501109801819882,Community 1
ai,0.08307485117192738,Community 2
power,0.0908732643042966,Community 1
learn,0.03394516928370471,Community 8
update,0.10171342209464744,Community 4
path,0.02607576971574158,Community 1
anomaly,0.044726749245655895,Community 1
algorithm,0.03840825582864746,Community 8
probability,0.0006512612099400562,Community 3
theory,0.008666301362175062,Community 3
continuously,0.04703514645971189,Community 4
personalized,0.04274136564587328,Community 1
personalize,0.09511532501253077,Community 1
interface,0.1159790242392866,Community 1
preference,0.031006046411609714,Community 1
monitoring,0.06524513251375155,Community 1
detect,0.04484009877859178,Community 1
well,0.010878660112442593,Community 1
fraudulent,0.0015037966832459687,Community 15
understanding,0.06898417556640596,Community 2
frameworks,0.02607576971574158,Community 1
theoretical,0.03090424432311658,Community 1
foundation,0.0551574666874874,Community 1
leverage,0.03813544201980837,Community 1
introduction,0.02675936638337146,Community 1
studies,0.00678280665879362,Community 6
practical,0.056891719160000936,Community 1
world,0.04829763494257531,Community 4
study,0.03215773873279606,Community 4
exist,0.042039059210406605,Community 3
application,0.10465341608668312,Community 1
systems,0.08822501002216282,Community 1
implement,0.08676182930090126,Community 1
interfaces,0.014755766632451213,Community 1
technical,0.014386660315201956,Community 6
support,0.004533761209227228,Community 6
provide,0.02039843410682415,Community 6
comprehensive,0.0056599700314312745,Community 4
course,0.003241097187992536,Community 7
free,0.09976690266270659,Community 3
energy,0.04653829643437887,Community 3
principle,0.04223860410314454,Community 3
definition,0.003501260098233439,Community 5
core,0.004353040952520819,Community 5
fep,0.014494702271242001,Community 3
unifying,0.0063143219517367765,Community 3
propose,0.018623456986552135,Community 3
adaptive,0.02041691791701441,Community 3
minimize,0.031971366317235864,Community 3
variational,0.029360626498830502,Community 3
maintain,0.017573482262378613,Community 3
structural,0.004945272527117235,Community 3
functional,0.001692393422434048,Community 3
understand,0.011582046729598219,Community 3
central,0.0008703771541973348,Community 3
perception,0.010033923436649068,Community 4
decision,0.04488392113119865,Community 7
making,0.034776814661237845,Community 7
biological,0.02194959768157038,Community 7
difference,0.012081454236049975,Community 3
actual,0.020704737955731238,Community 4
sensory,0.017203687608037848,Community 4
input,0.01516527665381948,Community 4
predict,0.013131497271802782,Community 4
kl,4.108163255530413e-08,Community 10
divergence,3.118123355208431e-09,Community 10
mathematically,0.0037902729767833603,Community 3
express,0.0038978722561258334,Community 3
sum,0.0015389716112104645,Community 4
accuracy,0.016577524322203826,Community 4
expect,0.0012531601576811265,Community 10
log,9.474844835366672e-05,Community 10
likelihood,7.166005419552587e-06,Community 10
complexity,5.422966713611471e-07,Community 10
