word,centrality,community
domain,0.04411126650569601,Community 2
analysis,0.004067517317986809,Community 2
integrate,0.08034452804561144,Community 2
active,0.18428100948849374,Community 2
inference,0.22053036449298968,Community 2
hospitality,0.30682068549407515,Community 2
1,0.19955847258258025,Community 1
professional,0.052970007419587566,Community 7
degree,0.02829057168263527,Community 2
administrator,1.3014133400712321e-15,Community 17
cha,1.3014133400712321e-15,Community 17
service,0.2834997371736499,Community 1
customer,0.026139440043131925,Community 1
understand,0.11978392626803784,Community 2
personalized,0.08069598819505744,Community 3
empathy,1.3014133400712321e-15,Community 18
responsiveness,1.3014133400712321e-15,Community 18
3,0.04604216351935664,Community 4
quality,0.05866450861514748,Community 3
point,1.3014133400712321e-15,Community 19
sale,1.3014133400712321e-15,Community 19
reservation,0.0008312669883449928,Community 1
software,0.00901544112798789,Community 1
mobile,0.03493182432062808,Community 5
check,0.00420819247988225,Community 5
system,0.005880264314004343,Community 5
ai,0.16004556478079832,Community 1
power,0.02808457823049271,Community 1
chatbot,0.02641284748112606,Community 1
social,1.3014133400712321e-15,Community 20
responsibility,1.3014133400712321e-15,Community 20
practice,0.07118110257029506,Community 4
frameworks,0.018400712688079027,Community 1
blueprinting,0.047352815932451046,Community 1
visualize,0.03050556239841093,Community 1
delivery,0.03442661159705637,Community 5
process,0.08399899260840812,Community 5
2,0.2487027172015678,Community 3
continuous,0.027978077314557797,Community 11
improvement,0.002830031607288851,Community 11
guest,0.2717657695543427,Community 1
behavior,0.0944556335195196,Community 1
experience,0.09885505481344975,Community 1
challenges,0.018400712688079027,Community 1
satisfaction,0.06670381647829032,Community 3
high,1.940531332990982e-13,Community 12
level,1.940531332990982e-13,Community 12
personalize,0.11675174758896548,Community 3
efficient,0.03582191910619265,Community 3
operation,0.12284194907232064,Community 3
operational,0.10405654877389724,Community 3
efficiency,0.009594061465922333,Community 3
manage,0.00105324237247045,Community 3
day,0.011423392491975957,Community 3
trends,0.01893184104165775,Community 9
staying,0.005759853901510953,Community 9
update,0.04353306414608925,Community 9
rapidly,1.3014133400712321e-15,Community 21
change,1.3014133400712321e-15,Community 21
expectation,0.02531795291646808,Community 9
travel,0.0028268090098562985,Community 9
trend,0.005340911497389735,Community 9
data,0.06084646500730401,Community 1
enhance,0.1764972516691352,Community 3
implement,0.07661586081914547,Community 2
