Item ID,Entity,Total Words,Sections,Paragraphs,Words per Section,Words per Paragraph
barry_bonds-complete_curriculum_20250903_080849,Barry Bonds,4402,174,394,25.298850574712645,11.17258883248731
barry_bonds-complete_curriculum_20250903_170709,Barry Bonds,4678,166,278,28.180722891566266,16.827338129496404
barry_bonds-complete_curriculum_20250903_172542,Barry Bonds,4887,140,276,34.90714285714286,17.706521739130434
barry_bonds-complete_curriculum_20250903_174436,Barry Bonds,3825,97,245,39.43298969072165,15.612244897959183
bill_gates-complete_curriculum_20250903_172901,Bill Gates,11933,138,381,86.47101449275362,31.32020997375328
bill_gates-complete_curriculum_20250903_174607,Bill Gates,5628,184,323,30.58695652173913,17.424148606811144
coffee_roasting-complete_curriculum_20250903_075916,Coffee Roasting,10656,333,638,32.0,16.70219435736677
coffee_roasting-complete_curriculum_20250903_080345,Coffee Roasting,11228,338,648,33.218934911242606,17.32716049382716
coffee_roasting-complete_curriculum_20250903_081359,Coffee Roasting,9554,294,550,32.49659863945578,17.37090909090909
coffee_roasting-complete_curriculum_20250903_081740,Coffee Roasting,10892,331,663,32.90634441087613,16.42835595776772
coffee_roasting-complete_curriculum_20250903_171617,Coffee Roasting,15250,260,536,58.65384615384615,28.45149253731343
coffee_roasting-complete_curriculum_20250903_171952,Coffee Roasting,10793,341,689,31.651026392961878,15.664731494920174
coffee_roasting-complete_curriculum_20250903_173710,Coffee Roasting,15943,271,579,58.830258302583026,27.535405872193436
coffee_roasting-complete_curriculum_20250903_174156,Coffee Roasting,16921,277,661,61.08664259927798,25.599092284417548
coffee_roasting-complete_curriculum_20250903_175827,Coffee Roasting,21640,260,597,83.23076923076923,36.24790619765494
coffee_roasting-complete_curriculum_20250903_180307,Coffee Roasting,16227,289,600,56.14878892733564,27.045
coffee_tasting-complete_curriculum_20250903_172253,Coffee tasting,9771,293,619,33.3481228668942,15.78513731825525
coffee_tasting-complete_curriculum_20250903_172926,Coffee tasting,22739,314,736,72.4171974522293,30.89538043478261
coffee_tasting-complete_curriculum_20250903_174603,Coffee tasting,16172,283,592,57.14487632508834,27.31756756756757
coffee_tasting-complete_curriculum_20250903_174923,Coffee tasting,11758,348,745,33.78735632183908,15.78255033557047
coffee_tasting-complete_curriculum_20250903_180551,Coffee tasting,8425,300,548,28.083333333333332,15.374087591240876
elon_musk,Elon Musk,9936,295,548,33.68135593220339,18.131386861313867
island_navigation_using_boat-complete_curriculum_20250903_175154,Island navigation using boat,8476,293,519,28.928327645051194,16.33140655105973
island_navigation_using_boat-complete_curriculum_20250903_175816,Island navigation using boat,25417,301,769,84.44186046511628,33.0520156046814
myrmecology-complete_curriculum_20250903_082146,Myrmecology,8353,290,501,28.80344827586207,16.672654690618764
myrmecology-complete_curriculum_20250903_082603,Myrmecology,11939,415,734,28.76867469879518,16.26566757493188
myrmecology-complete_curriculum_20250903_173118,Myrmecology,7452,225,491,33.12,15.177189409368635
myrmecology-complete_curriculum_20250903_173548,Myrmecology,12616,413,768,30.54721549636804,16.427083333333332
myrmecology-complete_curriculum_20250903_180125,Myrmecology,8732,253,457,34.51383399209486,19.10722100656455
myrmecology-complete_curriculum_20250903_180551,Myrmecology,15488,253,545,61.21739130434783,28.418348623853213
tulsi_gabbard-complete_curriculum_20250903_170826,Tulsi Gabbard,4444,137,262,32.43795620437956,16.9618320610687
tulsi_gabbard-complete_curriculum_20250903_173140,Tulsi Gabbard,9712,94,268,103.31914893617021,36.23880597014925
tulsi_gabbard-complete_curriculum_20250903_175033,Tulsi Gabbard,4549,166,282,27.403614457831324,16.131205673758867
william_blake-complete_curriculum_20250903_074048,William Blake,739,13,32,56.84615384615385,23.09375
william_blake-complete_curriculum_20250903_075428,William Blake,4826,135,264,35.74814814814815,18.28030303030303
william_blake-complete_curriculum_20250903_081018,William Blake,4229,150,275,28.19333333333333,15.378181818181819
william_blake-complete_curriculum_20250903_171139,William Blake,11264,155,390,72.67096774193548,28.882051282051282
william_blake-complete_curriculum_20250903_173230,William Blake,3885,122,209,31.84426229508197,18.588516746411482
william_blake-complete_curriculum_20250903_175205,William Blake,4127,120,224,34.391666666666666,18.424107142857142
